"x","y"
-38.91, 0.067504
-29.571, 0.2219
-19.363, 0.50916
-9.5891, 0.77846
 0.18462, 0.92208
 10.393, 0.96158
 20.167, 0.97594
 30.375, 0.98133
 40.366, 0.97774
 50.357, 0.97774
 60.13, 0.96876
