Time,vM,ikr
0.0,-88.0605815047688,-3.3682809951751004e-07
0.23265204243583634,-88.06060313737095,-3.3671490515393946e-07
0.4653040848716727,-88.06062474845194,-3.366021170484297e-07
0.9949805526553668,-88.06067387588818,-3.3634672339422903e-07
1.5246570204390608,-88.06072290436981,-3.360931685912404e-07
2.054333488222755,-88.06077182581402,-3.358416050715897e-07
2.8930328184280563,-88.06084906374666,-3.354474417008944e-07
4.304475818654748,-88.06097842366813,-3.347955265750016e-07
6.887492107985672,-88.06121314663378,-3.3363867794694486e-07
11.518790421489324,-88.06162756807089,-3.3167645675164234e-07
16.150088734992977,-88.0620338411107,-3.298519779282446e-07
20.0,-88.06236547991664,-3.284338964222815e-07
20.000036538173756,-88.05944244606985,-3.243532007494587e-07
20.000073076347512,-88.05651942914946,-3.202725293162037e-07
20.00016915622747,-88.04883321396883,-3.095422081618195e-07
20.00026523610743,-88.04114710267703,-2.9881203615191397e-07
20.00036131598739,-88.0334611038357,-2.8808202522983456e-07
20.00045739586735,-88.02577522022204,-2.773521792406181e-07
20.0006652740284,-88.00914646193078,-2.5413768383302634e-07
20.001140264383455,-87.97115268696783,-2.0109673152541916e-07
20.00161525473851,-87.93316173848844,-1.4805981613369304e-07
20.002090245093566,-87.89517360418613,-9.502691521214132e-08
20.00256523544862,-87.85718827076107,-4.199800489608076e-08
20.00355976009403,-87.77766439695917,6.901998512359844e-08
20.00455428473944,-87.69815262108351,1.800208059747245e-07
20.00554880938485,-87.61865282023753,2.910046792001095e-07
20.006543334030262,-87.53916486596455,4.0197183475054216e-07
20.008160057282446,-87.40997228668132,5.823276288363418e-07
20.00977678053463,-87.28081014369295,7.626408182670264e-07
20.011393503786813,-87.1516779078055,9.429123703932634e-07
20.013010227038997,-87.02257505487081,1.123143250246741e-06
20.01462695029118,-86.89350106456388,1.3033344223560217e-06
20.016243673543364,-86.76445542011759,1.4834868512256099e-06
20.017860396795548,-86.63543760840325,1.6636015013318524e-06
20.019477120047732,-86.50644712006365,1.8436793370467335e-06
20.021946743036345,-86.30945950985696,2.1186880621665464e-06
20.02441636602496,-86.11253269386758,2.3936165706144407e-06
20.02688598901357,-85.91566490981425,2.6684682988516467e-06
20.029355612002185,-85.71885441986184,2.9432466806028295e-06
20.033516772858267,-85.38736585843404,3.4060747569650448e-06
20.03767793371435,-85.05602707789487,3.86872073912119e-06
20.04183909457043,-84.72483027903677,4.331200991883386e-06
20.046000255426513,-84.39376792024079,4.793531820964139e-06
