Number,Data
200,145
210,145
220,145
230,2450
240,9855
250,9845
260,9835
270,9825
280,9815
290,9805
300,380
310,260
320,255
330,255
340,255
350,255
360,255
370,255
380,255
390,250
400,250
410,250
420,250
430,250
440,250
450,250
460,250
470,250
480,255
490,255
500,255
