Time,vM,ikr
0.0,-87.96995726054105,-2.647307997594181e-07
0.2506203871088011,-87.9699695995997,-2.645207621417513e-07
0.5012407742176022,-87.96998192237014,-2.643114345726742e-07
1.1530954551990886,-87.97001390013395,-2.637701615364246e-07
1.804950136180575,-87.9700457802833,-2.632330951039986e-07
2.4568048171620616,-87.97007755493486,-2.627005645747118e-07
3.4416285802208026,-87.97012535474157,-2.619047922290404e-07
5.110052707599378,-87.97020577039218,-2.605804801711755e-07
8.751633418919525,-87.9703788546372,-2.577906663119441e-07
12.393214130239672,-87.97054863799244,-2.551348426953769e-07
16.03479484155982,-87.97071517499197,-2.5260705685065364e-07
19.676375552879968,-87.97087852134845,-2.5020137588160107e-07
20.0,-87.97089288667652,-2.499931502241569e-07
20.000036658739297,-87.96796021255209,-2.4723513493361286e-07
20.000073317478595,-87.9650275618127,-2.4447714345812453e-07
20.00016970587307,-87.95731672523378,-2.372255482346497e-07
20.000266094267545,-87.94960603215819,-2.299741005090965e-07
20.00036248266202,-87.94189549441137,-2.2272281140372084e-07
20.000458871056495,-87.93418511582853,-2.1547168451098928e-07
20.0006674401783,-87.91750163558993,-1.997819617615123e-07
20.00114426085546,-87.87936348556126,-1.6391574319131975e-07
20.001621081532623,-87.84122924452168,-1.280535031335974e-07
20.002097902209783,-87.80309889531446,-9.219522279117406e-08
20.002574722886944,-87.76497241940294,-5.634088205132975e-08
20.003572199712735,-87.68522682656247,1.8651348592721937e-08
20.004569676538527,-87.60549793248605,9.362661210295943e-08
20.005567153364318,-87.52578556629247,1.6858509445692927e-07
20.00656463019011,-87.44608954936226,2.435269892624431e-07
20.008186967155076,-87.31650316564323,3.653806062692917e-07
20.009809304120044,-87.1869588190613,4.871916663402753e-07
20.01143164108501,-87.05745577233895,6.089609792314704e-07
20.013053978049978,-86.92799329509455,7.306893508265691e-07
20.014676315014945,-86.79857066213347,8.523775848088494e-07
20.016298651979913,-86.66918715305846,9.74026483092516e-07
20.01792098894488,-86.53984205234846,1.0956368458133967e-06
20.019543325909847,-86.4105346494986,1.2172094712628893e-06
20.022023711174164,-86.21290829357731,1.4030102851898998e-06
20.02450409643848,-86.01536591212141,1.588727586577955e-06
20.026984481702797,-85.81790503491698,1.7743642046511327e-06
20.029464866967114,-85.62052322222573,1.959922957655724e-06
20.033664535422577,-85.28649938995503,2.27393242007118e-06
20.03786420387804,-84.952683817778,2.587740284129334e-06
20.042063872333504,-84.61906525030902,2.901360056215627e-06
20.046263540788967,-84.28563268557417,3.2148051791815437e-06
20.05046320924443,-83.95237538069489,3.52808903753738e-06
20.054662877699894,-83.61928285630997,3.841224964371564e-06
20.058862546155357,-83.2863448999378,4.154226249827509e-06
20.06306221461082,-82.95355156878784,4.467106150721899e-06
20.067261883066283,-82.6208931921626,4.77987790122393e-06
20.071461551521747,-82.28836037336421,5.092554724708785e-06
20.07566121997721,-81.95594399104247,5.405149846873843e-06
20.079860888432673,-81.6236351999901,5.717676510145415e-06
20.084060556888137,-81.2914254314058,6.030147989397899e-06
20.0882602253436,-80.95930639263477,6.342577609019818e-06
20.092459893799063,-80.62727006640046,6.654978761358852e-06
20.096659562254526,-80.29530870955116,6.9673649265689855e-06
20.10085923070999,-79.96341485134812,7.279749693883728e-06
20.107584473839555,-79.43205108630049,7.78002623780691e-06
20.110864261445375,-79.17296153448694,8.02403131913569e-06
