Time,vM,ikr
0.0,-87.7884088015144,-4.481416437236781e-07
0.18849860289355966,-87.78843170955592,-4.477795391174035e-07
0.3769972057871193,-87.78845459706552,-4.4741834551469454e-07
0.8256600022399461,-87.7885089962512,-4.4656205183501056e-07
1.2743227986927728,-87.78856329220707,-4.457102824605046e-07
1.7229855951455995,-87.78861747648037,-4.4486341219544043e-07
2.4130376416615196,-87.7887005887657,-4.435707068332557e-07
3.567716821092498,-87.78883905401024,-4.4143399435079217e-07
5.722067705981267,-87.78909537221406,-4.375340928971339e-07
9.492671841026942,-87.7895377187626,-4.3097085606849694e-07
13.263275976072617,-87.7899721850334,-4.247307599100734e-07
17.033880111118293,-87.79039890320215,-4.1879908929765944e-07
20.0,-87.79072922702163,-4.143394218165076e-07
20.000036901995195,-87.78777709707896,-4.1115836118265833e-07
20.00007380399039,-87.78482499271944,-4.0797733051691327e-07
20.00017083919231,-87.77706243971176,-3.996128276448627e-07
20.000267874394233,-87.7693000437176,-3.9124851048634986e-07
20.000364909596154,-87.76153781767458,-3.8288439299410036e-07
20.000461944798076,-87.75377576577762,-3.7452047967718213e-07
20.000671902877833,-87.73698137477393,-3.564239255617932e-07
20.001151966900416,-87.69858449411346,-3.150502090775497e-07
20.001632030923,-87.66019189088517,-2.7368150184417907e-07
20.00211209494558,-87.62180354615312,-2.3231778070911436e-07
20.002592158968163,-87.58341943946697,-1.9095902086948988e-07
20.003595174888634,-87.50323564898508,-1.0456248902400352e-07
20.004598190809105,-87.42307008253536,-1.818727915391772e-08
20.005601206729576,-87.34292255233852,6.816683707304348e-08
20.006604222650047,-87.26279286215353,1.5450009746025078e-07
20.00823435441158,-87.13260123077794,2.9476763236515355e-07
20.009864486173115,-87.00245539316454,4.349816980357898e-07
20.01149461793465,-86.87235454147522,5.751432843154556e-07
20.013124749696182,-86.74229787559503,7.152533753904367e-07
20.014754881457716,-86.61228460126239,8.553129518711494e-07
20.01638501321925,-86.48231392964429,9.953229913174268e-07
20.018015144980783,-86.35238507742461,1.1352844682108182e-06
20.019645276742317,-86.22249726695858,1.2751983538565853e-06
20.022149252331673,-86.0230603341568,1.4900236057363333e-06
20.02465322792103,-85.8237156478728,1.7047423447272615e-06
20.027157203510384,-85.62446046893425,1.919358048558091e-06
20.02966117909974,-85.42529209321583,2.133874175640569e-06
20.03396784291439,-85.08293165331743,2.502604046660453e-06
20.036957528687537,-84.84540435937726,2.7584182514567913e-06
20.039947214460685,-84.60798619261942,3.014109563628185e-06
20.042936900233833,-84.37067284387119,3.2696837284522805e-06
20.04592658600698,-84.13346007665184,3.5251464593267023e-06
20.04891627178013,-83.89634372795189,3.780503438911366e-06
20.051905957553277,-83.65931970879504,4.035760320575165e-06
20.054895643326425,-83.42238400479914,4.290922729924625e-06
20.059434719270598,-83.06281753895367,4.678153769471694e-06
20.06397379521477,-82.70343213263116,5.065199435582102e-06
20.068512871158944,-82.34421473887761,5.452079105701077e-06
20.073051947103117,-81.98515271854228,5.838812061674058e-06
20.07759102304729,-81.62623384171869,6.225417510165063e-06
20.082130098991463,-81.26744628782312,6.611914605578538e-06
