Time,vM,ikr
0.0,-87.98288832693434,-1.296167905407017e-07
0.23373750087198242,-87.982905614509,-1.2941000157392265e-07
0.46747500174396484,-87.98292287853538,-1.2920393318617172e-07
1.0397196361538592,-87.98296505101843,-1.2870228599788542e-07
1.6119642705637536,-87.983007098451,-1.2820441699473427e-07
2.184208904973648,-87.98304901071006,-1.2771062693240817e-07
3.0530303175487776,-87.98311237939015,-1.2696888046909001e-07
4.525693791446873,-87.98321905937944,-1.257332953584466e-07
7.697640538803951,-87.98344574457452,-1.2316168933602595e-07
10.869587286161028,-87.98366825180861,-1.2070908197320806e-07
14.041534033518106,-87.9838866435077,-1.183703731682692e-07
17.213480780875184,-87.98410098391625,-1.1614046763004598e-07
20.0,-87.98428600684227,-1.1426581831020721e-07
20.00003664114299,-87.98135473677036,-1.1296411199994116e-07
20.00007328228598,-87.97842348564618,-1.1166242383585563e-07
20.000169634931776,-87.97071546728502,-1.0823955090778877e-07
20.00026598757757,-87.96300756522305,-1.0481679693235172e-07
20.000362340223365,-87.95529978904413,-1.0139416619204842e-07
20.00045869286916,-87.94759214185663,-9.797166008721473e-08
20.000667159314187,-87.93091649320411,-9.05672303701277e-08
20.001143545895495,-87.89281165818637,-7.364885910801841e-08
20.001619932476803,-87.85470998777224,-5.6733543018535205e-08
20.00209631905811,-87.81661146810664,-3.982127799333711e-08
20.00257270563942,-87.77851608421905,-2.2912059428754177e-08
20.00356959512834,-87.69880752137523,1.2462441860468345e-08
20.00456648461726,-87.61911248682338,4.782366528317178e-08
20.00556337410618,-87.5394308424317,8.317165343900382e-08
20.0065602635951,-87.4597624438106,1.1850645170768102e-07
20.008180529965138,-87.33030354038765,1.759088486872055e-07
20.009800796335174,-87.20087865015869,2.3327670663249202e-07
20.01142106270521,-87.07148717831699,2.906102093272662e-07
20.013041329075246,-86.94212853557171,3.479095381774695e-07
20.014661595445283,-86.8128021367577,4.0517487285125897e-07
20.01628186181532,-86.6835074005123,4.624063914454324e-07
20.017902128185355,-86.5542437493324,5.196042704832323e-07
20.01952239455539,-86.42501060968259,5.76768684890015e-07
20.02200194360876,-86.22729849383924,6.641849460538811e-07
20.02448149266213,-86.02965447843953,7.515238550825417e-07
