Number,Data
200,175
210,180
220,185
230,190
240,190
250,195
260,195
270,195
280,195
290,200
300,460
310,455
320,450
330,445
340,445
350,440
360,430
370,310
380,305
390,305
400,305
410,305
420,305
430,305
440,305
450,305
460,305
470,305
480,305
490,305
500,305
