Time,vM,ikr
0.0,-87.08589836483831,-4.660931576710458e-07
0.018374679668378423,-87.08590055040533,-4.6602353131309745e-07
0.11879057705797386,-87.08591248460687,-4.6564353554846754e-07
0.42144519633280625,-87.0859483952441,-4.645012453887992e-07
0.7240998156076386,-87.08598422653667,-4.633629591590271e-07
1.0267544348824709,-87.08601997133474,-4.6222900643099405e-07
1.3294090541573031,-87.08605562685541,-4.6109948516728827e-07
1.9803357733857787,-87.08613200282774,-4.5868527285162137e-07
3.146407306256937,-87.08626775511337,-4.544113938666678e-07
4.3124788391280955,-87.086402126112,-4.502022313269177e-07
6.217436757482151,-87.08661864970348,-4.4346269037288343e-07
8.122394675836206,-87.08683146284083,-4.368895793383075e-07
10.027352594190262,-87.08704060004787,-4.304788262635361e-07
13.484666008474862,-87.08741104351192,-4.192456486672338e-07
16.941979422759463,-87.08777021754851,-4.085110763341106e-07
20.0,-87.08807907011763,-3.9941436808197227e-07
20.000089373777787,-87.08092930105072,-3.9527104106480605e-07
20.000178747555573,-87.07377965613401,-3.911277964045094e-07
20.000503681830633,-87.0477869416821,-3.760650136648768e-07
20.000828616105693,-87.02179568028434,-3.610032099469771e-07
20.001153550380753,-86.99580598924342,-3.4594245321838287e-07
20.001717878347435,-86.95067236166113,-3.1978830860205184e-07
20.002282206314117,-86.90554359585046,-2.9363739271271257e-07
20.0028465342808,-86.86041968291694,-2.674896990652344e-07
20.00341086224748,-86.81530060463501,-2.4134521574026225e-07
20.004338835609015,-86.7411178496682,-1.9836051991065903e-07
20.00526680897055,-86.66694801805482,-1.553844082351646e-07
20.006194782332084,-86.59279101150857,-1.124168175046226e-07
20.00819092178208,-86.43331680142133,-2.0018928241198014e-08
20.00935513484251,-86.34033309426572,3.385268580428538e-08
20.010519347902942,-86.24736891299574,8.771131575116576e-08
20.011683560963373,-86.15442408054192,1.4155707747148886e-07
20.012847774023804,-86.06149842299641,1.9539008522064731e-07
20.014011987084235,-85.96859176945506,2.492104517328435e-07
20.01605124310454,-85.80590013949153,3.4345301964548327e-07
20.018090499124842,-85.643265421196,4.3765773032244293e-07
20.020129755145145,-85.48068675481643,5.318251606924184e-07
20.02216901116545,-85.31816330468907,6.259558760073526e-07
20.024208267185752,-85.15569425636485,7.200504315803806e-07
20.026247523206056,-84.99327881348258,8.141093746673436e-07
20.02828677922636,-84.83091619579321,9.08133245683761e-07
20.03227426171033,-84.5135883295581,1.0918845877853173e-06
20.039228486503454,-83.96062382371726,1.4120452585141647e-06
20.043869117545118,-83.59193780657243,1.6254853938724494e-06
20.04850974858678,-83.2234930293705,1.838767190134376e-06
20.053150379628445,-82.85528147974966,2.0518966897850394e-06
20.060365688881905,-82.28322651362058,2.3829847623123056e-06
20.067580998135366,-81.71168736964565,2.7137422421828194e-06
20.074796307388826,-81.14063547539364,3.044192448964496e-06
20.082011616642287,-80.57004273376198,3.374359148232831e-06
20.089226925895748,-79.9998814744036,3.704266654669516e-06
20.09644223514921,-79.43012443486023,4.033939923427826e-06
20.10365754440267,-78.8607447698226,4.3634046327115164e-06
20.109787266323874,-78.37730852835445,4.643155250879531e-06
20.11087285365613,-78.29171607746389,4.6926872650153184e-06
20.11808816290959,-77.72301243357657,5.02181519305007e-06
20.12530347216305,-77.15460842787967,5.350816774274793e-06
20.136782138110217,-76.25090439653435,5.874030373088614e-06
20.144634795415605,-75.63302284394172,6.2318884850076166e-06
20.152487452720994,-75.01539124479288,6.589732774632236e-06
20.160340110026382,-74.39798059623355,6.947607956854674e-06
20.16819276733177,-73.78076278147681,7.305561281032559e-06
20.17604542463716,-73.16371057656737,7.663642835904194e-06
20.183898081942548,-72.54679767726161,8.0219059069881e-06
20.191750739247937,-71.92999869741276,8.380407379540345e-06
20.199603396553325,-71.31328913243276,8.739208184640041e-06
20.207456053858714,-70.69664529830112,9.098373794154493e-06
20.215308711164102,-70.08004425119222,9.457974773441265e-06
20.22316136846949,-69.46346368355013,9.818087400002337e-06
20.23101402577488,-68.8468817890211,1.0178794355293845e-05
20.238866683080268,-68.23027709030396,1.0540185496708059e-05
20.246719340385656,-67.61362822708496,1.0902358716893573e-05
20.254571997691045,-66.99691369407195,1.1265420902375578e-05
20.262424654996433,-66.38011151452598,1.1629489008216775e-05
20.270277312301822,-65.76319884203309,1.1994691259091044e-05
20.27812996960721,-65.14615147394521,1.2361168496729679e-05
20.2859826269126,-64.52894326936001,1.2729075686762028e-05
20.293835284217987,-63.91154544912726,1.3098583607036262e-05
20.301687941523376,-63.29392574343239,1.3469880755276872e-05
20.309540598828765,-62.67604737786435,1.3843175489448256e-05
20.317393256134153,-62.05786786207427,1.4218698443058277e-05
20.32524591343954,-61.43933755054716,1.4596705251933883e-05
20.33309857074493,-60.82039793658747,1.4977479637962184e-05
20.34095122805032,-60.20097963771151,1.536133690204493e-05
20.352908789882697,-59.256654868642904,1.5952577257575212e-05
20.364866351715076,-58.310656462900745,1.6553214045903942e-05
20.376823913547454,-57.362504507277606,1.7164928566552785e-05
20.388781475379833,-56.41156953646315,1.778971561673073e-05
20.40073903721221,-55.45702801717948,1.8429950687130716e-05
20.41269659904459,-54.49780982917116,1.9088470502199807e-05
20.42465416087697,-53.532533985407504,1.9768673465432098e-05
20.436611722709348,-52.5594291697477,2.0474647560273196e-05
20.448569284541726,-51.576237148509776,2.121133335987474e-05
20.460526846374105,-50.58009709483942,2.19847324817633e-05
20.472484408206483,-49.567407652003936,2.280217736297687e-05
20.484441970038862,-48.53366246316212,2.3672685699611925e-05
20.493095649542067,-47.769285644652165,2.434198973615701e-05
20.5,-47.147740564336395,2.4903471252381395e-05
20.500045438744905,-47.147246982417656,2.4905003824840377e-05
20.50009087748981,-47.146752873239855,2.49065368308185e-05
20.50021493886013,-47.145401185449714,2.4910724556127648e-05
20.500339000230447,-47.14404599931358,2.491491518494155e-05
20.500463061600765,-47.142687020360924,2.4919108944859742e-05
20.500587122971083,-47.14132414817899,2.4923305915014056e-05
20.500837923653357,-47.13855694415447,2.4931800380725657e-05
20.501290616494572,-47.13352126086073,2.494716659987431e-05
20.50198928168562,-47.12564571407939,2.4970967992917586e-05
20.50268794687667,-47.11764385520578,2.499487430195658e-05
20.503386612067718,-47.109515112804374,2.5018886384179298e-05
20.5046136831747,-47.09492962196446,2.506131772933093e-05
20.50584075428168,-47.079948091953355,2.5104082542121357e-05
20.507067825388663,-47.064567519039066,2.514718554072441e-05
20.508294896495645,-47.04878485785323,2.519063156311196e-05
20.51046262357498,-47.019911878836716,2.526823564554721e-05
20.512630350654316,-46.989759111615115,2.5346951547239438e-05
20.515977993830088,-46.94064424784408,2.5470758849819606e-05
20.51932563700586,-46.888385920842424,2.5597378582280368e-05
20.522673280181632,-46.832930779361675,2.5726909938956338e-05
20.526020923357404,-46.774226793615966,2.585945373551468e-05
20.53107529447662,-46.67932429315844,2.606550882146174e-05
20.536129665595833,-46.576722897115836,2.6279031009624475e-05
20.541184036715048,-46.466245588142876,2.6500400310877112e-05
20.546238407834263,-46.34771069974083,2.6730015519454296e-05
20.551292778953478,-46.22092898108253,2.6968297715996827e-05
20.556347150072693,-46.085700891259,2.72156938415724e-05
20.561401521191907,-45.941813902880696,2.7472680533165208e-05
20.569574228775135,-45.69024392492809,2.7909827369949316e-05
20.577746936358363,-45.41435887039081,2.8375778828658702e-05
20.58591964394159,-45.112935905853526,2.8873229402078862e-05
20.594092351524818,-44.78456820026751,2.940525704874777e-05
20.602265059108046,-44.4276336000545,2.9975401593653216e-05
20.610437766691273,-44.04026620542508,3.058775271768672e-05
20.6186104742745,-43.62032643481886,3.124705610671818e-05
20.62678318185773,-43.16536701992783,3.195884610626917e-05
20.634955889440956,-42.67259632583179,3.272961017906386e-05
20.643128597024184,-42.13884124011875,3.35669915263271e-05
20.64911263038157,-41.7199802162307,3.422752708400863e-05
20.655096663738956,-41.275669471756395,3.4932713653355016e-05
20.66108069709634,-40.80421070042756,3.56872492034632e-05
20.667064730453728,-40.30376499041941,3.6496502280222566e-05
20.668974848178127,-40.13759975520341,3.676731523384528e-05
20.66970844097348,-40.07293040005815,3.6873015107777135e-05
20.670442033768833,-40.007781977105935,3.697967372700239e-05
20.670475204968735,-40.00482474739027,3.698451942323906e-05
20.670508376168637,-40.001866529811394,3.698936710751674e-05
20.670541456583106,-39.99891542625309,3.699420350391341e-05
20.670562418740776,-39.99704488683803,3.6997269218546516e-05
20.670583380898446,-39.99517395689522,3.7000335725042396e-05
20.670604343056116,-39.99330263608146,3.7003403023899184e-05
20.670625305213786,-39.99143092455885,3.7006471115228986e-05
20.670646267371456,-39.98955882236179,3.7009539999241256e-05
20.670667229529126,-39.98768632867463,3.7012609676795795e-05
