Time,vM,ikr
0.0,-87.9945598636052,-4.4248775971300286e-07
0.2459382473611199,-87.99457518659935,-4.4230091781491947e-07
0.4918764947222398,-87.99459048864766,-4.42114736203021e-07
1.1467176775442063,-87.99463113345433,-4.4162210325745626e-07
1.8015588603661727,-87.99467164674176,-4.411335655844802e-07
2.456400043188139,-87.99471201789477,-4.406494433358469e-07
3.1112412260101054,-87.99475224368761,-4.401698159406418e-07
4.507471448547009,-87.9948375237622,-4.391621021715084e-07
7.551903701507293,-87.99502119230839,-4.370333193714271e-07
10.596335954467577,-87.99520176288837,-4.349959996658747e-07
13.640768207427861,-87.99537927898784,-4.3304657318199984e-07
16.685200460388145,-87.99555378536061,-4.311814570122217e-07
20.0,-87.99574043768115,-4.2924096908513403e-07
20.000036625878792,-87.9928103898316,-4.250886313611096e-07
20.000073251757584,-87.98988036238559,-4.209363232124385e-07
20.000169559409304,-87.9821759569278,-4.10017976196998e-07
20.000265867061024,-87.9744716766928,-3.9909981108798335e-07
20.000362174712745,-87.96676753200025,-3.8818184251038604e-07
20.000458482364465,-87.95906352619753,-3.7726407517866163e-07
20.000666862512123,-87.94239490621409,-3.53642078475831e-07
20.001143124454753,-87.90430050436095,-2.9965653006663675e-07
20.001619386397383,-87.86620951146058,-2.456759121617515e-07
20.002095648340013,-87.82812191264766,-1.9170019834992877e-07
20.002571910282644,-87.7900376918574,-1.3772936048738838e-07
20.0035685253719,-87.71035435302196,-2.480683144524857e-08
20.004565140461157,-87.63068558801106,8.809472929758367e-08
20.005561755550413,-87.55103124861057,2.0097558241820728e-07
20.00655837063967,-87.47139117990423,3.1383599873488303e-07
20.008178727654435,-87.34193761522032,4.97288347063325e-07
20.0097990846692,-87.2125207242791,6.806885243717508e-07
20.011419441683966,-87.08313986861893,8.640376670493026e-07
20.01303979869873,-86.95379441590657,1.047336907560172e-06
20.014660155713496,-86.82448373848052,1.2305873766174058e-06
20.01628051272826,-86.69520721304548,1.4137902037260007e-06
20.017900869743027,-86.56596422078114,1.5969465171384606e-06
20.019521226757792,-86.43675414751243,1.7800574437245683e-06
20.0219989467433,-86.23923873723737,2.0599707816389563e-06
20.024476666728805,-86.0417967181971,2.339784643751946e-06
20.026954386714312,-85.8444259604893,2.619503039801626e-06
20.02943210669982,-85.64712436459249,2.899129968249402e-06
20.03362625303102,-85.31329505387842,3.372269571134339e-06
20.03782039936222,-84.97964818488893,3.8451777669031235e-06
20.042014545693423,-84.64617422548223,4.317873703101688e-06
20.046208692024624,-84.31286397165243,4.790376372592863e-06
20.050402838355826,-83.97970859859345,5.262704558750373e-06
20.054596984687027,-83.64669972538329,5.734876762188279e-06
20.05879113101823,-83.3138294979511,6.206911102430021e-06
20.06298527734943,-82.98109069345415,6.678825190158172e-06
20.06717942368063,-82.64847684509621,7.150635971464438e-06
20.071373570011833,-82.31598237909859,7.622359555860138e-06
20.075567716343034,-81.98360274308355,8.094011057443873e-06
20.079761862674236,-81.65133448657313,8.565604504951955e-06
20.083956009005437,-81.31917523286403,9.037152906861503e-06
20.08815015533664,-80.98712346835848,9.508668576483356e-06
20.09234430166784,-80.65517809056428,9.980163800639283e-06
20.09653844799904,-80.32333771952686,1.0451651845530807e-05
20.100732594330243,-79.99159988659507,1.0923148138710173e-05
20.10742576659542,-79.46240125044305,1.1675644261226397e-05
20.11080756786898,-79.19510387724458,1.2055907464117116e-05
20.114118938860596,-78.93342346566713,1.2428305588094687e-05
20.120812111125773,-78.40462735904237,1.3181247353468879e-05
20.12750528339095,-77.87596894079134,1.3934596939680504e-05
20.134198455656126,-77.34740627749025,1.4688484603249082e-05
20.140891627921302,-76.81890353279042,1.544303823950645e-05
20.14758480018648,-76.29043118877388,1.6198383602342135e-05
20.154277972451656,-75.76196445919453,1.695464713832947e-05
20.160971144716832,-75.23348199109155,1.7711958462019614e-05
20.16766431698201,-74.70496530712879,1.847045183068465e-05
20.174357489247186,-74.17639844478451,1.9230267395659706e-05
20.184479885200066,-73.37689620715474,2.03822145237675e-05
20.194602281152946,-72.57720579213327,2.1538076276095787e-05
20.204724677105826,-71.77729170943958,2.269846026400274e-05
20.214847073058706,-70.97712373288101,2.3864041044830543e-05
20.224969469011587,-70.1766763435798,2.5035570520666503e-05
20.235091864964467,-69.37592817697781,2.621388949601045e-05
20.245214260917347,-68.57486136196205,2.7399940700076242e-05
20.255336656870227,-67.77346089062465,2.8594783253222332e-05
20.265459052823108,-66.97171409099131,2.9799608651349157e-05
20.275581448775988,-66.16961014027028,3.1015758539870544e-05
20.285703844728868,-65.3671395418946,3.224474459447067e-05
20.29582624068175,-64.56429355463008,3.348827076532346e-05
20.30594863663463,-63.76106359656064,3.474825811993844e-05
20.31607103258751,-62.95744062695637,3.602687257400116e-05
20.32619342854039,-62.15341448069248,3.732655587104474e-05
20.33631582449327,-61.34897312448994,3.865006021741856e-05
20.34643822044615,-60.54410181197597,4.000048701115231e-05
20.35656061639903,-59.73878211538919,4.138133015039894e-05
20.36668301235191,-58.932990802081946,4.279652447642157e-05
20.37680540830479,-58.126698512194714,4.4250499988113274e-05
20.38692780425767,-57.319868185125934,4.574824255493316e-05
20.39705020021055,-56.512453174426255,4.729536195957216e-05
