Time,vM,ikr
0.0,-87.08170650427294,-4.731569012371524e-07
0.11347425358289952,-87.08171686784993,-4.728859942819237e-07
0.22694850716579903,-87.08172722678657,-4.72615511451117e-07
0.5364150465642857,-87.08175545468647,-4.71879947753042e-07
0.8458815859627724,-87.08178365204675,-4.7114716541781877e-07
1.1553481253612592,-87.08181181641959,-4.704173910816447e-07
1.464814664759746,-87.08183994707682,-4.696906916672043e-07
2.0888459310611176,-87.08189656884073,-4.682347098337939e-07
3.2423557610746645,-87.08200087402412,-4.655760673929438e-07
5.430765163832878,-87.08219750258428,-4.606464410314502e-07
7.6191745665910915,-87.08239251553167,-4.5586353970745455e-07
9.807583969349306,-87.08258595383461,-4.5122327416293293e-07
11.99599337210752,-87.08277785826428,-4.46721528293711e-07
14.184402774865735,-87.08296826823992,-4.423542563034959e-07
18.3297931436657,-87.08332499715895,-4.3443528326747094e-07
20.0,-87.08346730252916,-4.313713178188373e-07
20.000089226624542,-87.07632930395192,-4.268741120766583e-07
20.000178453249084,-87.06919142908522,-4.2237698846244635e-07
20.000503386586765,-87.04319878283864,-4.0600070095228675e-07
20.000828319924445,-87.01720758927745,-3.8962538293320686e-07
20.001153253262125,-86.99121796567773,-3.73251108114719e-07
20.00171122766271,-86.9465924401057,-3.451357577018885e-07
20.002269202063296,-86.90197166659257,-3.1702355653480337e-07
20.00282717646388,-86.85735563669517,-2.889144963658041e-07
20.003385150864467,-86.8127443328582,-2.6080856316007884e-07
20.00431325791713,-86.73855050526738,-2.1406542460641874e-07
20.00524136496979,-86.66436960446569,-1.6733082139468722e-07
20.006169472022453,-86.59020153231424,-1.2060467758489007e-07
20.00833927017318,-86.41685536229122,-1.1397377975915962e-08
20.00951407337746,-86.32302839654427,4.771242162290876e-08
20.01068887658174,-86.22922128477384,1.0680921610163144e-07
20.011863679786018,-86.13543384574685,1.658931501893554e-07
20.013038482990297,-86.04166590143045,2.2496436703997163e-07
20.014213286194575,-85.94791727685858,2.840230083231329e-07
20.01643622266128,-85.77058047432739,3.957385399530679e-07
20.018659159127985,-85.59331109332857,5.074104843085591e-07
20.02088209559469,-85.41610802730911,6.190397652516572e-07
20.023105032061395,-85.2389702029898,7.30627291971245e-07
20.0253279685281,-85.06189657631636,8.421739617274621e-07
20.027550904994804,-84.8848861276683,9.53680663054758e-07
20.02977384146151,-84.7079378588055,1.065148277876477e-06
20.034106757339732,-84.36320786119693,1.282310324975042e-06
20.04340821099057,-83.62392987032182,1.7480311289935515e-06
20.048652706765452,-83.20753111883721,2.0103635064207173e-06
20.053897202540334,-82.7914299419887,2.272524413364443e-06
20.059141698315216,-82.37561497610827,2.5345255389233177e-06
20.064386194090098,-81.96007504758416,2.796378759981144e-06
20.06963068986498,-81.54479914836475,3.0580961777012607e-06
20.07487518563986,-81.12977640611432,3.319690159029888e-06
